fold,classifier,splitter,window,overlap,train_subject_ratio,repeat,score,eval_score,score_balanced_arousal,score_balanced_valence,eval_score_balanced_arousal,eval_score_balanced_valence,score_precision,eval_score_precision,score_recall,eval_score_recall,type
6,0,0,3,0.0,0.5,0,0.4688908926961226,0.29797979797979796,0.6473119878403384,0.6946460058075892,0.5773809523809523,0.518455522971652,0.6990920961860648,0.5653768051871499,0.729880246204873,0.6271063166224456,raw
7,0,0,3,0.0,0.5,0,0.4878268710550045,0.3143939393939394,0.6791039121898512,0.6828995975987862,0.5845959595959596,0.5340501792114696,0.7043351124233477,0.5746293527044481,0.771917969362681,0.6487687939300842,raw
8,0,0,3,0.0,0.5,0,0.44454463480613166,0.3024891774891775,0.6692340070086596,0.6502551170019354,0.5768398268398269,0.5242098403388726,0.6561538461538461,0.5665720923307704,0.7604101467931079,0.6456384117674441,raw
9,0,0,3,0.0,0.5,0,0.47653429602888087,0.30537518037518036,0.6331894731284975,0.7124856216668409,0.5707070707070707,0.5268686868686869,0.6856708118871397,0.5655330785194087,0.749432930083615,0.6461038961038961,raw
0,0,0,3,0.0,0.75,0,0.47596153846153844,0.3971861471861472,0.6792613883808031,0.6624099811537165,0.591991341991342,0.6187813968562632,0.6791586124118103,0.6367459136990961,0.7191487556930144,0.7169382904677022,raw
1,0,0,3,0.0,0.75,0,0.4678292242934456,0.3838383838383838,0.66520862655407,0.6652190835011691,0.573953823953824,0.6087073948036514,0.6817257298990684,0.6243824787237964,0.7082063214998169,0.71171802054155,raw
2,0,0,3,0.0,0.75,0,0.4846662657847264,0.3935786435786436,0.673922207487683,0.6805838915400668,0.5811688311688312,0.626181602117431,0.7103211349431955,0.6379059381198446,0.7091737980024314,0.6956752397928869,raw
3,0,0,3,0.0,0.75,0,0.48767288033674083,0.395021645021645,0.6785897202184085,0.6768579362479819,0.5847763347763348,0.6255604170042672,0.6739498726804728,0.6343345407851873,0.7329122085383868,0.7334903658433071,raw
4,0,0,3,0.0,0.75,0,0.48526758869512926,0.3870851370851371,0.6842740287484095,0.6632757766099602,0.5768398268398268,0.62637065845622,0.6773015446577619,0.6312447191641822,0.7272727272727273,0.7377769289533995,raw
5,0,0,3,0.0,0.75,0,0.47836538461538464,0.3906926406926407,0.6753958065896448,0.6738063703671537,0.5854978354978355,0.6240209582455571,0.6813707122662398,0.6368905754953421,0.7291522823168393,0.7139461845344199,raw
6,0,0,3,0.0,0.75,0,0.4564040889957907,0.3888888888888889,0.6723098390918208,0.6352143948326837,0.5786435786435786,0.6241559984875493,0.6705708353149976,0.6344646328575749,0.7017603843611775,0.7091291061879297,raw
7,0,0,3,0.0,0.75,0,0.481659651232712,0.3924963924963925,0.6730509114129803,0.6817705139035144,0.5800865800865801,0.6133797871765786,0.6734391124871001,0.6273563535738265,0.7370882544154296,0.7296069943128767,raw
8,0,0,3,0.0,0.75,0,0.4407696933253157,0.40440115440115443,0.6541513357862743,0.6375407326947764,0.5966810966810967,0.6149732620320856,0.6644270250093318,0.636866465534998,0.6956348522697907,0.7159833630421866,raw
9,0,0,3,0.0,0.75,0,0.5069152134696332,0.4022366522366522,0.7041164254504939,0.6726235051666086,0.5851370851370852,0.6349052017501216,0.706733776167424,0.6394236523274636,0.7260831161671846,0.7274212715389186,raw
0,0,0,6,0.0,0.25,0,0.36727272727272725,0.2696793002915452,0.54814676351207,0.6817226890756303,0.5794758812615955,0.5137442732194919,0.6194975083056479,0.5928239559942574,0.6411597751683455,0.5724840028775888,raw
1,0,0,6,0.0,0.25,0,0.3927272727272727,0.2699222546161322,0.5672179813401188,0.6960227272727273,0.578756957328386,0.5110370678883799,0.5621019779849015,0.5894011326190336,0.7247474747474747,0.5981030631176404,raw
2,0,0,6,0.0,0.25,0,0.38321167883211676,0.2619047619047619,0.6012222042750229,0.663415933919531,0.5678107606679035,0.5163265306122449,0.6567442097745129,0.5901780914135581,0.6447633063527103,0.5554929764113438,raw
3,0,0,6,0.0,0.25,0,0.3722627737226277,0.27332361516034986,0.5693430656934306,0.6871162280701755,0.5727040816326531,0.5092877967513536,0.5765734265734266,0.5846883604148537,0.7625496222307594,0.6094335693461057,raw
4,0,0,6,0.0,0.25,0,0.34306569343065696,0.26797862001943634,0.5691328731665228,0.6428725760276562,0.5746753246753247,0.5068304872969596,0.6155744067420714,0.5860558269446522,0.6123858199217052,0.5809227215932755,raw
5,0,0,6,0.0,0.25,0,0.3490909090909091,0.26457725947521865,0.5669260082565895,0.6492857142857142,0.5757421150278292,0.4968763015410246,0.5420985343135016,0.580485402576682,0.6767021276595745,0.6064376585513611,raw
6,0,0,6,0.0,0.25,0,0.4109090909090909,0.271622934888241,0.5811809098639455,0.7322297955209347,0.5691094619666048,0.5144106622240734,0.6434511434511434,0.5877425952509845,0.7203035060177918,0.584103214569687,raw
7,0,0,6,0.0,0.25,0,0.33941605839416056,0.25510204081632654,0.553678038379531,0.6732635893011216,0.5642857142857143,0.5012494793835902,0.5812328192703723,0.578458288014602,0.6636897479814045,0.5763223656809663,raw
8,0,0,6,0.0,0.25,0,0.3905109489051095,0.2747813411078717,0.5779029887310142,0.6616106503710171,0.5711270871985158,0.5141191170345689,0.6193814735196403,0.5900635364719786,0.6574785855479903,0.5701222975275454,raw
9,0,0,6,0.0,0.25,0,0.44525547445255476,0.26895043731778423,0.5823011734028684,0.7058603956700261,0.5730983302411874,0.5205747605164515,0.6833992094861661,0.5960656808716567,0.6523279352226721,0.5452037030025368,raw
0,0,0,6,0.0,0.5,0,0.4663023679417122,0.3119533527696793,0.6599403713240276,0.6544909463160413,0.5827259475218659,0.5228439763001975,0.6797095197008916,0.5695379569016098,0.7353681350496637,0.6321005360669614,raw
1,0,0,6,0.0,0.5,0,0.48269581056466304,0.3170553935860058,0.6569432593856656,0.7125301204819277,0.5867346938775511,0.5460434496379196,0.6912424740010947,0.5813818565400843,0.7734015927189989,0.6544836828740713,raw
2,0,0,6,0.0,0.5,0,0.4353369763205829,0.3163265306122449,0.6278313253012049,0.6782708032708032,0.581268221574344,0.5376168531928901,0.6722482503325814,0.5766047871007396,0.7272390572390572,0.6306780776826859,raw
3,0,0,6,0.0,0.5,0,0.46265938069216755,0.3163265306122449,0.6401639344262295,0.6803040361125863,0.5907434402332361,0.5401711652402896,0.6651533719548426,0.5810315957022836,0.7499121779859484,0.6427513401674034,raw
4,0,0,6,0.0,0.5,0,0.4562043795620438,0.321064139941691,0.6341249138362144,0.6767405084677038,0.5841836734693877,0.5517314022383146,0.6924809372317327,0.5851472628822418,0.7133550488599348,0.6369792156493934,raw
5,0,0,6,0.0,0.5,0,0.5027322404371585,0.3163265306122449,0.7039728943255914,0.6916059371985854,0.5918367346938775,0.5497959183673469,0.7160793150067598,0.5878235223305646,0.7835623678646935,0.6326530612244898,raw
6,0,0,6,0.0,0.5,0,0.48633879781420764,0.3145043731778426,0.6663552649139197,0.6837744364918278,0.5809037900874636,0.5433443054641212,0.6855133253438338,0.5785257795319447,0.7545522217132387,0.6432568419072698,raw
7,0,0,6,0.0,0.5,0,0.4116575591985428,0.3119533527696793,0.6101491101491101,0.6509003601440576,0.5834548104956268,0.5428834759710336,0.6469178082191781,0.5794020737481289,0.7144575001717859,0.6425044672246778,raw
8,0,0,6,0.0,0.5,0,0.44990892531876137,0.3021137026239067,0.655705368964306,0.6682031934961077,0.5736151603498543,0.5274654377880184,0.6808508494387457,0.5677048199325427,0.7255007782941156,0.6383546506160067,raw
9,0,0,6,0.0,0.5,0,0.46715328467153283,0.321064139941691,0.6726190476190477,0.6958923208923209,0.5838192419825073,0.5494930875576036,0.7072007606575375,0.5828784233900814,0.7514478764478765,0.6454551866829681,raw
0,0,0,6,0.0,0.75,0,0.47694174757281554,0.38629737609329445,0.6799949477634831,0.6612215909090908,0.5830903790087464,0.6273600349230601,0.7098814837617362,0.6370574739592056,0.6880428488708743,0.7089264277139428,raw
