fold,classifier,splitter,window,overlap,train_game_ratio,repeat,score,eval_score,score_balanced_arousal,score_balanced_valence,eval_score_balanced_arousal,eval_score_balanced_valence,score_precision,eval_score_precision,score_recall,eval_score_recall,type
0,0,0,3,0.0,0.5,0,0.6774671476423603,0.09383374561945991,0.5167988277043671,0.6988743286552787,0.5002462513332079,0.5328492296234232,0.8241219769684633,0.32378337946533653,0.9267245802745541,0.8781385281385281,features
1,0,0,3,0.0,0.5,0,0.6782838368871996,0.09317666460523603,0.5172808039503717,0.6960056563182901,0.49988393249262814,0.5313010287203835,0.8254897705945498,0.3231942921824048,0.9288833217847717,0.8772222222222222,features
2,0,0,3,0.0,0.5,0,0.6724859885331443,0.09468408575551433,0.5173408485614754,0.6949409453680434,0.49943848422109294,0.5343411069217521,0.8216545734915806,0.32420002092302413,0.9290600588191195,0.8774891774891775,features
3,0,0,3,0.0,0.5,0,0.6688140179089094,0.09401412079983508,0.5209418634398328,0.6893048827096955,0.5001411631846414,0.531296373877019,0.8211939181421037,0.32329936007914617,0.9237067255531086,0.875021645021645,features
4,0,0,3,0.0,0.5,0,0.6677188687753656,0.09416872809729952,0.5208641581804505,0.6877393828201007,0.49980707698099003,0.5323162500581855,0.8223748092670056,0.32358053644421225,0.9238718281556308,0.8758658008658009,features
0,0,0,3,0.0,0.75,0,0.47760360747262187,0.12793753865182436,0.6225771641100121,0.6749834348742653,0.5818502485169151,0.6124004015308363,0.6694843047228469,0.952728977577127,0.4612652088128374,0.30269220848930994,features
1,0,0,3,0.0,0.75,0,0.47674468541979814,0.12796330653473512,0.6201970311577402,0.6792885465817797,0.5818903318903319,0.6091944287596461,0.6693661142202967,0.9517278686999447,0.46515304287633863,0.30125792082313824,features
2,0,0,3,0.0,0.75,0,0.4766158471118746,0.12909709338280767,0.6176270165241923,0.6770337510810835,0.5825316658649993,0.6103645147123408,0.6642653728186245,0.9515374705412385,0.4597937144371868,0.30444019212135154,features
3,0,0,3,0.0,0.75,0,0.47322310500322096,0.12572150072150073,0.6171228215379139,0.6723487328493198,0.580821441932553,0.6071208984252463,0.6683458727439591,0.950864843594895,0.4510715507605618,0.2989813013967603,features
4,0,0,3,0.0,0.75,0,0.47418828380003436,0.12827252112966397,0.6208807177496758,0.671305657884274,0.5816097482764149,0.6076824142041534,0.6627692888134314,0.9505558851099911,0.461864984661349,0.30263992582833166,features
0,0,0,10,0.0,0.25,0,0.6974494283201407,0.2487391508327469,0.6230575764722958,0.838563205229225,0.49290048354611815,0.5519293924466339,0.8331823451930832,0.5335517279455471,0.8988589358977461,0.7079089557537833,features
1,0,0,10,0.0,0.25,0,0.6842568161829375,0.24510321369927282,0.6404736233029439,0.8163800644611969,0.49360370747017845,0.5488933360700602,0.8236315482462743,0.5320800267894049,0.8824818102930378,0.7045382050769982,features
2,0,0,10,0.0,0.25,0,0.6851363236587511,0.2466572836030964,0.6246076037670039,0.8289149536408293,0.49442590583456325,0.5501505199781062,0.8396260436674376,0.5334566074441022,0.8786710682582177,0.7040562730217903,features
3,0,0,10,0.0,0.25,0,0.7113946326440828,0.24929627023223083,0.6340799718986008,0.8438361621195198,0.4929911307387463,0.5526135741652983,0.8358757949097657,0.5338242103837552,0.9003855416482176,0.706610859628101,features
4,0,0,10,0.0,0.25,0,0.7056753189617246,0.24601219798264135,0.6206571018985793,0.8458581817560122,0.493733304628389,0.5509116721401204,0.8534523842210342,0.5336328688991704,0.8852965516521212,0.7034231737895531,features
0,0,0,10,0.0,0.5,0,0.5782761653474054,0.20241027445460943,0.7076270642287932,0.7274591062974511,0.47450152474783014,0.5387064992849198,0.7674123099128365,0.5303145604987507,0.7141667835308323,0.5041238564391274,features
