fold,classifier,splitter,window,overlap,train_subject_ratio,repeat,score,eval_score,score_balanced_arousal,score_balanced_valence,eval_score_balanced_arousal,eval_score_balanced_valence,score_precision,eval_score_precision,score_recall,eval_score_recall,type
3,0,0,3,0.0,0.75,0,0.4593085677474769,0.3130282415996702,0.6317914691342996,0.6667894936912366,0.5286345598845599,0.5926974095423293,0.6675376497889014,0.5743181653122702,0.7284774160383168,0.6051268992445463,features
4,0,0,3,0.0,0.75,0,0.4616045353032125,0.31070913213770357,0.6336844677294909,0.6697088868446741,0.52679322991823,0.59413076525376,0.6714237437400784,0.5749385735863423,0.7321180364853104,0.6061967716379482,features
0,0,0,10,0.0,0.25,0,0.727792436235708,0.2941003987802017,0.8161734478565127,0.7909172919411191,0.5166675996417376,0.5436992126647299,0.8304882344480928,0.5577777412856892,0.8293301514494101,0.5507159028710753,features
1,0,0,10,0.0,0.25,0,0.7348284960422163,0.2973844710297912,0.8204738100412954,0.7889204713685083,0.521641289744738,0.5417961348995832,0.8150143678160919,0.5591992224426388,0.84855076355694,0.556965591879385,features
2,0,0,10,0.0,0.25,0,0.7207563764291997,0.294862772695285,0.8108288411223823,0.7763794726670239,0.5178599417823555,0.5416698244284451,0.8132672427594281,0.556956214415898,0.8259471665854469,0.5600910583669204,features
3,0,0,10,0.0,0.25,0,0.7281126264848218,0.2970619282195637,0.8064097198000233,0.787217242951342,0.5173001567398119,0.5460317460317461,0.807888505713247,0.5589366446506627,0.8207990130633904,0.5559119520326417,features
4,0,0,10,0.0,0.25,0,0.7144742630884294,0.2950387051372273,0.8029410937126296,0.7684597188375656,0.5192510076130765,0.5406803924045304,0.80682637477879,0.5571158830461219,0.8308411670899893,0.5631823157685227,features
0,0,0,10,0.0,0.5,0,0.509674582233949,0.28681386347642507,0.6828520858023963,0.7035709445724353,0.5312207907035493,0.54960024762256,0.7076817897569284,0.6136055072897934,0.6744988603199624,0.4980029943011688,features
1,0,0,10,0.0,0.5,0,0.5042885418957554,0.28567030260380016,0.6699580426511531,0.7011122342861134,0.5314449917898194,0.5493203551012882,0.6860579998490489,0.6138240818075529,0.6749792697856827,0.4937747512798223,features
2,0,0,10,0.0,0.5,0,0.5243017374092809,0.2960942997888811,0.6781259959548019,0.7272467362974839,0.5318081343943413,0.5570881957798793,0.710396167414977,0.6175432157670685,0.6931466215087464,0.5044721336810586,features
3,0,0,10,0.0,0.5,0,0.5190235319991203,0.288881069669247,0.684964763557578,0.7105779196534667,0.5341354048250601,0.5509371460182819,0.7067362650157465,0.6163158956187547,0.6911487014187876,0.4955930648121317,features
4,0,0,10,0.0,0.5,0,0.518803606773697,0.28751759324419424,0.6886640983697976,0.7164335969045392,0.5314481495515978,0.5480690708885435,0.7114037573555152,0.6131912317771043,0.686850036054906,0.49471409253356513,features
0,0,0,10,0.0,0.75,0,0.48746518105849584,0.3580225193525686,0.6655297966489917,0.7040943432587314,0.5617014831010774,0.6317733990147782,0.7013006923296061,0.6978963654729895,0.6843083643531445,0.5672993335265141,features
1,0,0,10,0.0,0.75,0,0.4838000293212139,0.371393384940183,0.6751253954083607,0.6855481533537584,0.5808000316113906,0.6303838149679934,0.6849199612779299,0.7072065341416901,0.6825153652278787,0.583888727904955,features
2,0,0,10,0.0,0.75,0,0.49171675707374285,0.3575826882477129,0.6715075868567852,0.6986120044949045,0.5695516451094544,0.6227180527383367,0.6906368750977483,0.69834767544998,0.6872805180337418,0.5713561286583599,features
3,0,0,10,0.0,0.75,0,0.49186336314323414,0.36198099929627026,0.6691145861543342,0.6994434808682009,0.5744514106583072,0.6212889544532547,0.693758474124404,0.6995553531727963,0.6848074322077116,0.5812083454071284,features
4,0,0,10,0.0,0.75,0,0.48914956011730204,0.3634764250527797,0.6667588717979682,0.7023684636969185,0.5716590711519718,0.6337293538104898,0.6977483323984183,0.7046618992807776,0.6791224182172422,0.5731671979136482,features
0,0,0,20,0.0,0.25,0,0.563752276867031,0.3104956268221574,0.6917296496100844,0.7664887506406745,0.5240085807050092,0.5450487012987013,0.755482025392633,0.5480341189756186,0.8192851154073781,0.733534322820037,features
1,0,0,20,0.0,0.25,0,0.581056466302368,0.30709426627793973,0.7081395154692536,0.7638263332412268,0.5280728200371058,0.5429383116883116,0.7562174266294116,0.5494840025375162,0.8171166137869881,0.7165468460111317,features
