fold;classifier;splitter;window;overlap;repeat;score;score_balanced_arousal;score_balanced_valence;score_precision;score_recall;type
8;0;1;60;0;0;0.5430622009569378;0.6905723905723906;0.7410697115076424;0.7215401828478593;0.7761968144105772;features
9;0;1;60;0;0;0.5374800637958532;0.6968566712503157;0.7309926075596229;0.7293215264332793;0.7477135446315645;features
0;2;1;6;0;0;0.3817270775037418;0.5852228813990061;0.5945821076987976;0.6156755860136021;0.6421904835249794;features
1;2;1;6;0;0;0.3815318539727989;0.577052038125369;0.6030812061629417;0.6154727321034887;0.6432017713782643;features
2;2;1;6;0;0;0.3824677860210855;0.5762501009181719;0.5995575182324269;0.6148575906826312;0.6316930033157124;features
3;2;1;6;0;0;0.37667577769100613;0.5712088304827517;0.597555473862422;0.6106085903951013;0.6357820035068291;features
4;2;1;6;0;0;0.3803201874267864;0.5783566486169557;0.6003470787447902;0.6163904842965167;0.6317427894098127;features
5;2;1;6;0;0;0.37762738335394025;0.5763116617234637;0.6044081744537495;0.6167882739862035;0.6358111861273277;features
6;2;1;6;0;0;0.3909676579683738;0.582570119272582;0.6046600702229612;0.6185808257121406;0.6470200051213819;features
7;2;1;6;0;0;0.37641546270987897;0.5766062707086128;0.5943913658232205;0.6117038259876824;0.637286033272036;features
8;2;1;6;0;0;0.38005987244565925;0.5769602488417855;0.5985137392153095;0.6141291591487875;0.6358489888628782;features
9;2;1;6;0;0;0.3805154236626318;0.5773968337245383;0.5975906356466754;0.6139947297574084;0.6355651474444166;features
0;2;1;10;0;0;0.40098955470038483;0.5854917823376711;0.6197877869452331;0.6259049433754902;0.6586071635982577;features
1;2;1;10;0;0;0.3965915338097856;0.5892354071179;0.6118039891171685;0.6256327814619485;0.6479988467476235;features
2;2;1;10;0;0;0.38882779854849353;0.5865061679769656;0.6070100236597356;0.6226916542969623;0.641571481740469;features
3;2;1;10;0;0;0.39652518143831095;0.5902320315713498;0.6089201059385903;0.6244174790392347;0.6492079197904983;features
4;2;1;10;0;0;0.3905872003518804;0.5843803401421821;0.6036628149083394;0.6193613330949461;0.6449149241441877;features
5;2;1;10;0;0;0.3938427707531611;0.5864711966687062;0.6090674357307313;0.6237426678932358;0.6414340712547698;features
6;2;1;10;0;0;0.3952721275426058;0.5934903307704424;0.6092181857196325;0.6262902617543942;0.6496596911161058;features
