fold,classifier,splitter,window,overlap,repeat,score,score_balanced_arousal,score_balanced_valence,score_precision,score_recall,type
8,2,1,20,0,1,0.3354632587859425,0.5033783783783784,0.5764911559029207,0.5626293549499828,0.8911764705882352,raw
9,2,1,20,0,1,0.30990415335463256,0.5070183336061549,0.5348612140680339,0.5472789495220027,0.929699757523891,raw
0,2,1,30,0,1,0.33663366336633666,0.5,0.5397233201581028,0.5457095709570957,0.9636363636363636,raw
1,2,1,30,0,1,0.2079207920792079,0.5,0.5239130434782608,0.5704070407040704,0.6,raw
2,2,1,30,0,1,0.3217821782178218,0.5052631578947369,0.6126482213438735,0.5866819747416763,0.8409090909090908,raw
3,2,1,30,0,1,0.263681592039801,0.5052631578947369,0.5608795372955724,0.5736419753086419,0.7293577981651376,raw
4,2,1,30,0,1,0.2885572139303483,0.5052083333333334,0.5682817182817184,0.5670454545454546,0.8045454545454546,raw
5,2,1,30,0,1,0.32673267326732675,0.5052083333333334,0.6272727272727272,0.5853870183963902,0.8772727272727272,raw
6,2,1,30,0,1,0.3415841584158416,0.5052631578947369,0.5352766798418973,0.5477481015972767,0.9863636363636363,raw
7,2,1,30,0,1,0.2524752475247525,0.5052631578947369,0.5268774703557312,0.5598199478796494,0.6681818181818182,raw
8,2,1,30,0,1,0.19900497512437812,0.5052631578947369,0.5057838053450339,0.565,0.5275229357798166,raw
9,2,1,30,0,1,0.2736318407960199,0.5004464285714286,0.5766233766233766,0.571986144313802,0.7861471861471861,raw
0,2,1,60,0,1,0.35555555555555557,0.5,0.6436037829766053,0.6015366430260047,0.8265306122448979,raw
1,2,1,60,0,1,0.18888888888888888,0.5,0.5,0.26666666666666666,0.5,raw
2,2,1,60,0,1,0.3,0.5,0.6677451468392235,0.6490196078431372,0.7653061224489797,raw
3,2,1,60,0,1,0.34831460674157305,0.5,0.6872459349593496,0.6672707502718376,0.7604166666666667,raw
4,2,1,60,0,1,0.19101123595505617,0.5,0.5158163265306123,0.5917602996254682,0.5408163265306123,raw
5,2,1,60,0,1,0.32222222222222224,0.5,0.7088103534096566,0.6284580498866214,0.8673469387755102,raw
6,2,1,60,0,1,0.35555555555555557,0.5,0.620955699352912,0.6138888888888889,0.7551020408163265,raw
7,2,1,60,0,1,0.18888888888888888,0.5,0.5,0.26666666666666666,0.5,raw
8,2,1,60,0,1,0.3258426966292135,0.5,0.688770325203252,0.6330925628678438,0.8229166666666667,raw
9,2,1,60,0,1,0.19101123595505617,0.5,0.5102040816326531,0.7584269662921348,0.5102040816326531,raw
0,3,1,6,0,1,0.3825136612021858,0.5782971785999468,0.56714381270903,0.5807091836866115,0.8704794528474384,raw
1,3,1,6,0,1,0.4107468123861566,0.598181037667096,0.5778160535117056,0.5918026832535016,0.8705500776913258,raw
2,3,1,6,0,1,0.42349726775956287,0.580974772130542,0.5899966555183946,0.5900266243545611,0.865231543255873,raw
3,3,1,6,0,1,0.3892433910665451,0.5878286030495163,0.5635862646566164,0.5823798974618647,0.8813821124074814,raw
4,3,1,6,0,1,0.4083865086599818,0.5861368484202106,0.5809227149952078,0.5887174881575008,0.8615967146409464,raw
5,3,1,6,0,1,0.4089253187613843,0.5809954751131221,0.5803076923076923,0.5871013659631545,0.8540723981900452,raw
6,3,1,6,0,1,0.3925318761384335,0.5797767727894416,0.571324414715719,0.582860536199508,0.8739219967537155,raw
7,3,1,6,0,1,0.40528233151183973,0.6046252757894317,0.5668160535117057,0.5903846153846154,0.8731407512664553,raw
8,3,1,6,0,1,0.41841385597082953,0.6009227220299884,0.5809112227805695,0.5924507430288863,0.8831672781438913,raw
9,3,1,6,0,1,0.39562443026435734,0.5875849886681775,0.5804183618072265,0.5889022896396907,0.8634211090695154,raw
0,3,1,10,0,1,0.37384615384615383,0.529496088706615,0.5756222324018934,0.566005951766035,0.8914907324809198,raw
1,3,1,10,0,1,0.3953846153846154,0.5720743392750306,0.5725206138341732,0.57826478028062,0.9209121905420763,raw
2,3,1,10,0,1,0.37846153846153846,0.556300509966667,0.5531092533211177,0.5674682395644284,0.920776300835104,raw
3,3,1,10,0,1,0.38058551617873654,0.5659275768139131,0.5549345379373708,0.5706988547631442,0.9106323410035949,raw
4,3,1,10,0,1,0.3852080123266564,0.5750418935902807,0.5627118644067797,0.5749294514852982,0.9323773547393011,raw
5,3,1,10,0,1,0.3830769230769231,0.5584130781499203,0.5508665445106123,0.5663965996102441,0.9293041926851026,raw
6,3,1,10,0,1,0.36923076923076925,0.5661532179181584,0.5575660406168881,0.5731292979723434,0.8920747475745746,raw
7,3,1,10,0,1,0.38769230769230767,0.5695007644751712,0.5620800885631394,0.5748366120940058,0.9080191398593336,raw
8,3,1,10,0,1,0.3790446841294299,0.5665561841629045,0.549646849398974,0.5685971685971686,0.9293192849924623,raw
9,3,1,10,0,1,0.37750385208012327,0.5644637620444072,0.5590395480225989,0.5708104844795492,0.926458405818712,raw
0,3,1,20,0,1,0.34394904458598724,0.5495830791132805,0.5050913998282419,0.5500926612305412,0.9318979266347687,raw
1,3,1,20,0,1,0.36942675159235666,0.5603630739172908,0.5331247699668752,0.5623887900355872,0.9495878249841471,raw
2,3,1,20,0,1,0.3853503184713376,0.5637414522956692,0.5418966997914366,0.5656480117820324,0.9583597548087085,raw
3,3,1,20,0,1,0.36421725239616615,0.535974610974611,0.5458453311394488,0.5578691842590695,0.9309269162210339,raw
4,3,1,20,0,1,0.3769968051118211,0.5595023735472254,0.548163248496829,0.5645303326810176,0.9639138496648124,raw
5,3,1,20,0,1,0.3503184713375796,0.5505592841163311,0.5465382570645728,0.561943452231222,0.9432748538011696,raw
6,3,1,20,0,1,0.3853503184713376,0.5497802018886356,0.5558827137774506,0.5662668549149645,0.9342633692665399,raw
7,3,1,20,0,1,0.3630573248407643,0.5288586779550635,0.5418966997914366,0.5554646140986348,0.9673958993870218,raw
8,3,1,20,0,1,0.3769968051118211,0.5628992628992628,0.5259769642122583,0.5594654407179624,0.9553475935828877,raw
9,3,1,20,0,1,0.36741214057507987,0.5466934031756425,0.5510872251050161,0.5616894197952218,0.9607402652973898,raw
0,3,1,30,0,1,0.36633663366336633,0.5200471698113207,0.5570158102766799,0.5555902097071229,0.9439108061749572,raw
1,3,1,30,0,1,0.37623762376237624,0.5456468273487457,0.5343873517786562,0.5587225274725275,0.9628717077315208,raw
